Measurement	pURPLE1501501_SubRng9_141714828
787	7.9393
788	8.0062
789	8.0528
790	8.0349
791	8.0188
792	8.0406
793	8.0045
794	8.0328
795	8.051
796	8.0677
797	7.9832
798	8.0186
799	8.0634
800	8.0382
801	8.0027
802	8.0373
803	8.0852
804	8.0186
805	8.0694
806	8.0349
807	8.0836
808	8.0172
809	8.033
810	8.0978
811	8.0834
812	8.0712
813	8.0696
814	8.0712
815	8.0674
816	8.0857
817	8.0819
818	8.0335
819	8.131
820	8.104
821	8.0819
822	8.047
823	8.0511
824	8.0676
825	8.0892
826	8.0152
827	8.0168
828	8.0172
829	8.1845
830	8.0515
831	8.0854
832	8.0837
833	8.1184
834	8.0822
835	8.1164
836	8.1041
837	8.0839
838	8.0513
839	8.0473
840	8.0654
841	8.0894
842	8.1312
843	8.0692
844	8.0839
845	8.0834
846	8.1001
847	8.1407
848	8.0837
849	8.0979
850	8.1182
851	8.0856
852	8.1312
853	8.0822
854	8.0653
855	8.0983
856	8.0837
857	8.0981
858	8.1005
859	8.0837
860	8.1021
861	8.0656
862	8.0508
863	8.0801
864	8.0186
865	8.1036
866	8.0979
867	8.031
868	8.1166
869	8.0981
870	8.0674
871	8.1166
872	8.0819
873	8.1347
874	8.0472
875	8.0493
876	8.0981
877	8.1038
878	8.0799
879	8.1166
880	8.0998
881	8.0819
882	8.0674
883	8.1368
884	8.0819
885	8.0817
886	8.0348
887	8.1331
888	8.1166
889	8.033
890	8.0694
891	8.1203
892	8.1001
893	8.0657
894	8.0856
895	8.0816
896	8.0857
897	8.1018
898	8.0689
899	8.1164
900	7.9704
901	7.768
902	7.6184
903	7.4158
904	7.1901
905	6.9915
906	6.8457
907	6.5833
908	6.4289
909	6.2702
910	6.0471
911	5.8857
912	5.6855
913	5.5318
914	5.3438
915	5.1526
916	4.9594
917	4.8154
918	4.6548
919	4.5029
920	4.3493
921	4.203
922	4.0493
923	3.9095
924	3.7921
925	3.6541
926	3.4838
927	3.3818
928	3.2503
929	3.1233
930	2.9971
931	2.9115
932	2.7733
933	2.6737
934	2.5776
935	2.4701
936	2.3782
937	2.2833
938	2.1878
939	2.1072
940	2.0106
941	1.9385
942	1.85
943	1.7782
944	1.7117
945	1.6425
946	1.5657
947	1.4999
948	1.4509
949	1.3835
950	1.3298
951	1.2762
952	1.224
953	1.1708
954	1.1303
955	1.0794
956	1.0361
957	0.9887
958	0.9533
959	0.9143
960	0.883
961	0.8412
962	0.8073
963	0.7827
964	0.7523
965	0.7201
966	0.6924
967	0.6664
968	0.6424
969	0.6203
970	0.5953
971	0.576
972	0.5566
973	0.536
974	0.5185
975	0.4987
976	0.4812
977	0.4688
978	0.4493
979	0.4365
980	0.4235
981	0.4097
982	0.3983
983	0.3862
984	0.3746
985	0.3652
986	0.3559
987	0.3457
988	0.3357
989	0.3283
990	0.3189
991	0.3116
992	0.3031
993	0.297
994	0.2901
995	0.2846
996	0.2781
997	0.2733
998	0.2669
999	0.2628
1000	0.2569
1001	0.2525
1002	0.2492
1003	0.2442
1004	0.2398
1005	0.2372
1006	0.2329
1007	0.2286
1008	0.2246
1009	0.2237
1010	0.2191
1011	0.2166
1012	0.215
1013	0.2125
1014	0.2096
1015	0.2062
1016	0.204
1017	0.2019
1018	0.1999
1019	0.199
1020	0.197
1021	0.1952
1022	0.1932
1023	0.1903
1024	0.1892
1025	0.1883
1026	0.1878
1027	0.1853
1028	0.1844
1029	0.1826
1030	0.1811
1031	0.1815
1032	0.1797
1033	0.1782
1034	0.1768
1035	0.1769
1036	0.1769
1037	0.1751
1038	0.1741
1039	0.1733
1040	0.172
1041	0.1717
1042	0.1709
1043	0.1701
1044	0.169
1045	0.1686
1046	0.1679
1047	0.1667
1048	0.1664
1049	0.178
1050	1.4633
1051	2.702
1052	3.6953
1053	4.4802
1054	5.1254
1055	5.5924
1056	5.9793
1057	6.2797
1058	6.5542
1059	6.747
1060	6.9278
1061	7.0956
1062	7.2125
1063	7.3494
1064	7.4614
1065	7.4898
1066	7.557
1067	7.5858
1068	7.6314
1069	7.7094
1070	7.7244
1071	7.7868
1072	7.8621
1073	7.9228
1074	7.8431
1075	7.9231
1076	7.8705
1077	7.8745
1078	7.9058
1079	7.9409
1080	7.9231
1081	7.9566
1082	7.9425
1083	8.0043
1084	8.0548
1085	7.9725
1086	7.9831
1087	8.0027
1088	7.9549
1089	8.0025
1090	8.0009
1091	7.9886
1092	8.0386
1093	8.1036
1094	8.0368
1095	8.049
1096	7.9867
1097	8.0025
1098	8.0854
1099	8.0674
1100	8.053
1101	8.0836
1102	8.0188
1103	7.9988
1104	8.0311
1105	8.0651
1106	8.0369
1107	8.0045
1108	8.0821
1109	8.0188
1110	7.9993
1111	8.0691
1112	8.0672
1113	8.0674
1114	8.0852
1115	8.0366
1116	8.0493
1117	8.0656
1118	8.0998
1119	8.1001
1120	8.1036
1121	8.051
1122	8.0872
1123	8.104
1124	8.0566
1125	8.1
1126	8.1
1127	8.0495
1128	8.0874
1129	8.0672
1130	8.1036
1131	8.0674
1132	8.0822
1133	8.0836
1134	8.0856
1135	8.0331
1136	8.0836
1137	8.1203
1138	8.0837
1139	8.1221
1140	8.1181
1141	8.0983
1142	8.0857
1143	8.0837
1144	8.0836
1145	8.1349
1146	8.0696
1147	8.0966
1148	8.0961
1149	8.0672
1150	8.1184
1151	8.0497
1152	8.0834
1153	8.0208
1154	8.0692
1155	8.1021
1156	8.1021
1157	8.0692
1158	8.0856
1159	8.0892
1160	8.1164
1161	8.1329
1162	8.1129
1163	8.1041
1164	8.051
1165	8.0998
1166	8.1023
1167	8.0528
1168	8.051
1169	8.0493
1170	8.0837
1171	8.1023
1172	8.0313
1173	8.1493
1174	8.0691
1175	8.0817
1176	8.0984
1177	8.0978
1178	8.0694
1179	8.1331
1180	8.0654
1181	8.1331
1182	8.051
1183	8.0654
1184	8.1199
1185	8.1186
1186	8.0837
1187	8.1865
1188	8.1368
1189	8.0731
1190	8.0694
1191	8.053
1192	8.0511
1193	8.0839
1194	8.0208
1195	8.033
1196	8.153
1197	8.0654
1198	8.0172
1199	8.0492
1200	7.8621
1201	7.6185
1202	7.4596
1203	7.2778
1204	7.0185
1205	6.8674
1206	6.6896
1207	6.4498
1208	6.2808
1209	6.1176
1210	5.9034
1211	5.7664
1212	5.5573
1213	5.4005
1214	5.205
1215	5.0281
1216	4.8832
1217	4.71
1218	4.5568
1219	4.3936
1220	4.2719
1221	4.0844
1222	3.962
1223	3.8183
1224	3.6714
1225	3.5352
1226	3.4045
1227	3.2994
1228	3.1619
1229	3.0367
1230	2.931
1231	2.8207
1232	2.7129
1233	2.6062
1234	2.4971
1235	2.4038
1236	2.3114
1237	2.2235
1238	2.1305
1239	2.0499
1240	1.96
1241	1.8721
1242	1.8007
1243	1.7279
1244	1.6588
1245	1.5927
1246	1.53
1247	1.4652
1248	1.4055
1249	1.3533
1250	1.2945
1251	1.238
1252	1.1918
1253	1.1439
1254	1.1006
1255	1.0521
1256	1.0125
1257	0.968
1258	0.9309
1259	0.8976
1260	0.8602
1261	0.8251
1262	0.7922
1263	0.7649
1264	0.7326
1265	0.7062
1266	0.6794
1267	0.6549
1268	0.6317
1269	0.6064
1270	0.5849
1271	0.5649
1272	0.5451
1273	0.5254
1274	0.5093
1275	0.4924
1276	0.4761
1277	0.4611
1278	0.4458
1279	0.4322
1280	0.4184
1281	0.4058
1282	0.3957
1283	0.3833
1284	0.3727
1285	0.3618
1286	0.3519
1287	0.3453
1288	0.3358
1289	0.3271
1290	0.3195
1291	0.311
1292	0.3021
1293	0.297
1294	0.2908
1295	0.285
1296	0.2778
1297	0.2733
1298	0.2702
1299	0.2625
1300	0.2579
1301	0.2535
1302	0.2502
1303	0.2454
1304	0.2424
1305	0.2389
1306	0.2344
1307	0.2308
1308	0.228
1309	0.2249
1310	0.2213
1311	0.2188
1312	0.217
1313	0.2134
1314	0.2127
1315	0.2102
1316	0.2069
1317	0.2052
1318	0.2031
1319	0.2008
1320	0.2001
1321	0.1973
1322	0.1967
1323	0.1942
1324	0.1927
1325	0.1918
1326	0.1899
1327	0.1895
1328	0.1879
1329	0.1867
1330	0.1845
1331	0.1836
1332	0.1819
1333	0.1826
1334	0.1807
1335	0.1791
1336	0.1802
1337	0.1787
1338	0.1769
1339	0.1765
1340	0.1755
1341	0.1754
1342	0.1741
1343	0.174
1344	0.1728
1345	0.1725
1346	0.1717
1347	0.1711
1348	0.17
1349	0.7542
1350	2.3445
1351	3.4124
1352	4.2463
1353	4.9325
1354	5.4503
1355	5.8942
1356	6.1994
1357	6.4948
1358	6.6998
1359	6.918
1360	7.0297
1361	7.1579
1362	7.2811
1363	7.4486
1364	7.444
1365	7.5168
1366	7.604
1367	7.6498
1368	7.7094
1369	7.7226
1370	7.768
1371	7.8003
1372	7.8122
1373	7.8106
1374	7.8276
1375	7.8896
1376	7.8587
1377	7.9567
1378	7.9214
1379	7.9214
1380	7.9212
1381	8.0042
1382	7.9056
1383	7.9705
1384	8.0025
1385	8.0894
1386	8.0208
1387	8.0186
1388	8.0011
1389	7.9707
1390	8.0692
1391	7.9867
1392	8.0386
1393	8.0384
1394	8.0186
1395	8.0333
1396	8.0656
1397	8.0495
1398	8.053
1399	8.0511
1400	8.0011
1401	8.0495
1402	8.0836
1403	8.1182
1404	8.0369
1405	8.0353
1406	8.051
1407	8.104
1408	8.0368
1409	8.0638
1410	8.0657
1411	8.0834
1412	8.0981
1413	8.0877
1414	8.0874
1415	8.0841
1416	8.1349
1417	8.1346
1418	8.1016
1419	8.0817
1420	8.0692
1421	8.0313
1422	8.0672
1423	8.1038
1424	8.0817
1425	8.0366
1426	8.0856
1427	8.1349
1428	8.0817
1429	8.0475
1430	8.0836
1431	8.0368
1432	8.1035
1433	8.1018
1434	8.0513
1435	8.0837
1436	8.051
1437	8.0837
1438	8.1203
1439	8.0168
1440	8.0639
1441	8.053
1442	8.1309
1443	8.0821
1444	8.0493
1445	8.0676
1446	8.0709
1447	8.1368
1448	8.0836
1449	7.9832
1450	8.1366
1451	8.1349
1452	8.0696
1453	8.0511
1454	8.1204
1455	8.0349
1456	8.0331
1457	8.017
1458	8.0837
1459	8.1535
1460	8.0837
1461	8.053
1462	8.1203
1463	8.1347
1464	8.0979
1465	8.0366
1466	8.0966
1467	8.1347
1468	8.0874
1469	8.1201
1470	8.0692
1471	8.0797
1472	8.1164
1473	8.1003
1474	8.1698
1475	8.0528
1476	8.0674
1477	8.1016
1478	8.1018
1479	8.1018
1480	8.0676
1481	8.0653
1482	8.0315
1483	8.1201
1484	8.1035
1485	8.0876
1486	8.0837
1487	8.0797
1488	8.0836
1489	8.0857
1490	8.0691
1491	8.0694
1492	8.102
1493	8.0674
1494	8.0475
1495	8.0676
1496	8.0674
1497	8.0817
1498	8.1162
1499	7.909
1500	7.7077
1501	7.4426
1502	7.2661
1503	7.0557
1504	6.8933
1505	6.7352
1506	6.5393
1507	6.3632
1508	6.1462
1509	5.9709
1510	5.7895
1511	5.6073
1512	5.4481
1513	5.2583
1514	5.101
1515	4.9165
1516	4.7574
1517	4.6128
1518	4.4575
1519	4.3149
1520	4.1608
1521	4.0107
1522	3.8551
1523	3.7264
1524	3.5842
1525	3.4654
1526	3.3391
1527	3.2029
1528	3.0745
1529	2.9729
1530	2.848
1531	2.745
1532	2.642
1533	2.5372
1534	2.4366
1535	2.3359
1536	2.2489
1537	2.154
1538	2.0665
1539	1.9828
1540	1.9089
1541	1.8247
1542	1.751
1543	1.6807
1544	1.6181
1545	1.552
1546	1.4861
1547	1.4302
1548	1.3691
1549	1.3153
1550	1.2607
1551	1.2122
1552	1.1623
1553	1.1108
1554	1.0682
1555	1.0252
1556	0.9866
1557	0.944
1558	0.9099
1559	0.8712
1560	0.8376
1561	0.807
1562	0.7742
1563	0.7444
1564	0.7186
1565	0.6904
1566	0.6651
1567	0.6393
1568	0.6154
1569	0.5942
1570	0.5735
1571	0.5551
1572	0.5376
1573	0.5185
1574	0.5004
1575	0.4814
1576	0.4671
1577	0.4529
1578	0.4401
1579	0.4265
1580	0.4126
1581	0.4018
1582	0.3896
1583	0.3768
1584	0.3696
1585	0.3586
1586	0.3498
1587	0.3417
1588	0.3332
1589	0.3246
1590	0.3173
1591	0.3102
1592	0.3023
1593	0.2971
1594	0.29
1595	0.2825
1596	0.2772
1597	0.2719
1598	0.2689
1599	0.2627
1600	0.2579
1601	0.254
1602	0.251
1603	0.2466
1604	0.2429
1605	0.2384
1606	0.2345
1607	0.2319
1608	0.2293
1609	0.2271
1610	0.2231
1611	0.2209
1612	0.2175
1613	0.2158
1614	0.2139
1615	0.2103
1616	0.2095
1617	0.2065
1618	0.2042
1619	0.2036
1620	0.2021
1621	0.2001
1622	0.1976
1623	0.1964
1624	0.1947
1625	0.193
1626	0.1926
1627	0.1907
1628	0.1892
1629	0.1886
1630	0.1877
1631	0.1866
1632	0.1846
1633	0.1837
1634	0.1832
1635	0.1826
1636	0.1824
1637	0.181
1638	0.1796
1639	0.1781
1640	0.1787
1641	0.178
1642	0.1774
1643	0.1762
1644	0.1752
1645	0.1739
1646	0.1741
1647	0.1726
1648	0.3946
1649	1.7592
1650	2.9431
1651	0
1652	0
1653	0
1654	0
1655	0
1656	0
1657	0
1658	0
1659	0
1660	0
1661	0
1662	0
1663	0
1664	0
1665	0
1666	0
1667	0
1668	0
1669	0
